,address,city,n_reviews,number_restaurants,rating,restaurant_link,restaurant_name,restaurant_number
65,"Hollywood
6363 Yucca St
Los Angeles, CA 90028
(323) 848-4643",Beverly Hills,164,5505,4.5,https://www.yelp.com/biz/good-greek-grill-los-angeles-4,Good Greek Grill,171
66,"9360 Wilshire Blvd
Beverly Hills, CA 90212
(310) 388-6860",Beverly Hills,42,5505,4.0,https://www.yelp.com/biz/above-sixty-beverly-hills,Above SIXTY,371
67,"Sherman Oaks
14141 Ventura Blvd
Sherman Oaks, CA 91423
(818) 205-9744",Beverly Hills,1009,5505,4.5,https://www.yelp.com/biz/mendocino-farms-sherman-oaks,Mendocino Farms,571
68,"9346 Civic Ctr Dr
Beverly Hills, CA 90210
(310) 461-0600",Beverly Hills,60,5505,3.5,https://www.yelp.com/biz/clementine-beverly-hills-2,Clementine,771
69,"47080 Hwy 1
Big Sur, CA 93920
(831) 667-2370",Big Sur,293,11,4.0,https://www.yelp.com/biz/big-sur-roadhouse-big-sur,Big Sur Roadhouse,3
70,"402 E 4th St
Bloomington, IN 47408
(812) 336-2388",Bloomington,3,319,3.5,https://www.yelp.com/biz/my-thai-noodles-bloomington,My Thai Noodles,283
71,"111 N Rogers St
Bloomington, IN 47404
(812) 360-4084",Bloomington,0,319,-1.0,https://www.yelp.com/biz/gerricks-bbq-bloomington,Gerrick’s BBQ,164
72,"722 N Benjamin Ln
Boise, ID 83704
(208) 322-7678",Boise,8,994,3.5,https://www.yelp.com/biz/port-of-subs-boise-2,Port of Subs,731
73,"10689 W Ustick Rd
Boise, ID 83713
(208) 323-1520",Boise,4,994,4.0,https://www.yelp.com/biz/little-caesars-pizza-boise-3,Little Caesars Pizza,931
74,"1530 S Millennium Way
Meridian, ID 83642
(208) 288-0442",Boise,3,994,2.5,https://www.yelp.com/biz/subway-meridian-17,Subway,141
75,"24th & Fairview Ave
Boise, ID 83702
(208) 794-0605",Boise,3,994,3.0,https://www.yelp.com/biz/brown-shuga-soul-food-boise,Brown Shuga Soul Food,341
76,"7135 W State St
Boise, ID 84714
(208) 853-7400",Boise,16,994,4.0,https://www.yelp.com/biz/the-sunrise-cafe-boise-boise,The Sunrise Cafe Boise,541
77,"737 Huntington Ave
Boston, MA 02115
(617) 232-8000",Boston,103,6079,4.5,https://www.yelp.com/biz/laughing-monk-cafe-boston,Laughing Monk Cafe,466
78,"Downtown
49 Franklin St
Boston, MA 02110
(857) 350-4606",Boston,171,6079,4.5,https://www.yelp.com/biz/bonapita-boston-2,Bonapita,666
79,"Back Bay
800 Boylston St
Boston, MA 02199
(617) 276-1001",Boston,27,6079,4.0,https://www.yelp.com/biz/dig-inn-boston-4,Dig Inn,866
80,"Back Bay
131 Dartmouth St
Boston, MA 02116
(617) 424-5252",Boston,294,6079,3.5,https://www.yelp.com/biz/b-good-boston,B Good,76
81,"Back Bay
66 Hereford St
Boston, MA 02115
(857) 310-5194",Boston,309,6079,4.0,https://www.yelp.com/biz/santouka-back-bay-boston-2,Santouka Back Bay,276
82,"North Denver 'burbs
Lafayette, CO 80026
(720) 338-9641",Boulder,18,1071,4.0,https://www.yelp.com/biz/suburban-wiener-lafayette,Suburban Wiener,586
83,"4550 Broadway St
Boulder, CO 80304
(720) 406-7462",Boulder,8,1071,2.5,https://www.yelp.com/biz/subway-boulder-2,Subway,786
84,"1100 Ken Pratt Blvd
Longmont, CO 80501
(303) 772-9090",Boulder,10,1071,4.0,https://www.yelp.com/biz/great-harvest-bread-longmont-2,Great Harvest Bread,986
85,"7960 Niwot Rd
Niwot, CO 80503
(303) 652-6474",Boulder,0,1071,-1.0,https://www.yelp.com/biz/subway-niwot,Subway,196
86,"1325 Broadway St
Boulder, CO 80302
(303) 447-1133",Boulder,97,1071,4.0,https://www.yelp.com/biz/cosmos-pizza-boulder,Cosmo’s Pizza,396
87,"Brookline Village
22 Harvard St
Brookline, MA 02445
(617) 232-9505",Brookline,411,3880,4.0,https://www.yelp.com/biz/orinoco-brookline,Orinoco,218
88,"Kendall Square/MIT
1 Kendall Sq
Cambridge, MA 02139
(617) 577-7427",Brookline,388,3880,4.0,https://www.yelp.com/biz/the-smoke-shop-cambridge-2,The Smoke Shop,418
89,"Allston/Brighton
270 Western Ave
Allston, MA 02134
(617) 783-1212",Brookline,540,3880,4.0,https://www.yelp.com/biz/the-breakfast-club-allston,The Breakfast Club,618
90,"185 Crescent St
Waltham, MA 02453
(781) 788-8807",Brookline,88,3880,4.0,https://www.yelp.com/biz/brelundi-ristorante-waltham-2,Brelundi Ristorante,818
91,"Central Square
912 Massachusetts Ave
Cambridge, MA 02139
(617) 576-0032",Brookline,301,3880,4.0,https://www.yelp.com/biz/the-plough-and-stars-cambridge,The Plough & Stars,28
92,"Crown Heights
638 Park Pl
Brooklyn, NY 11238
(718) 398-8100",Brooklyn,224,13075,4.5,https://www.yelp.com/biz/silver-rice-brooklyn,Silver Rice,754
93,"East Williamsburg
251 Bushwick Ave
Brooklyn, NY 11206
(347) 770-7217",Brooklyn,80,13075,4.5,https://www.yelp.com/biz/the-topaz-brooklyn-2,The Topaz,954
94,"East Village
29 E 2nd St
New York, NY 10003
(212) 335-0114",Brooklyn,468,13075,4.0,https://www.yelp.com/biz/rosies-new-york-2,Rosie’s,164
95,"Crown Heights
1433 Bedford Ave
Brooklyn, NY 11216
(347) 305-3233",Brooklyn,565,13075,4.0,https://www.yelp.com/biz/catfish-brooklyn-2,Catfish,364
96,"Bensonhurst
2325 65th St
Brooklyn, NY 11204
(347) 587-6302",Brooklyn,100,13075,4.0,https://www.yelp.com/biz/together-brooklyn-2,Together,564
97,"Atwater Village
3216 Glendale Blvd
Los Angeles, CA 90039
(323) 644-0605",Burbank,366,2972,4.0,https://www.yelp.com/biz/atwater-village-tavern-los-angeles,Atwater Village Tavern,66
98,"Burbank
101 N Victory Blvd
Burbank, CA 91502
(818) 840-8805",Burbank,189,2972,4.5,https://www.yelp.com/biz/rafos-cafe-burbank,Rafo’s Cafe,266
99,"North Hollywood
4929 Lankershim Blvd
North Hollywood, CA 91601
(818) 505-1033",Burbank,219,2972,4.5,https://www.yelp.com/biz/dog-haus-north-hollywood,Dog Haus,466
100,"Glendale
230 N Brand Blvd
Glendale, CA 91203
(818) 956-5888",Burbank,516,2972,4.0,https://www.yelp.com/biz/lolas-peruvian-restaurant-glendale,Lola’s Peruvian Restaurant,666
101,"Hollywood
6510 Hollywood Blvd
Los Angeles, CA 90028
(323) 406-9786",Burbank,135,2972,4.5,https://www.yelp.com/biz/ds-dubai-sauce-los-angeles-5,D’s Dubai Sauce,866
102,"580 Shelburne Rd
Burlington, VT 05403
(802) 862-2600",Burlington,1,358,4.0,https://www.yelp.com/biz/subway-burlington-16,Subway,124
103,"101 Main St
Burlington, VT 05401
(802) 951-0099",Burlington,4,358,3.5,https://www.yelp.com/biz/armory-grille-and-bar-burlington,Armory Grille & Bar,324
104,"Cannonborough
221 Coming St
Charleston, SC 29403
(843) 695-7252",Charleston,154,1434,4.5,https://www.yelp.com/biz/tapio-a-boba-tea-cafe-charleston-3,Tapio - A Boba Tea Cafe,459
105,"West Ashley
1729 Sam Rittenberg Blvd
Charleston, SC 29407
(843) 207-4646",Charleston,3,1434,2.0,https://www.yelp.com/biz/nikos-gyros-and-wings-charleston,Niko’s Gyros & Wings,659
106,"115 Pitt St
Mount Pleasant, SC 29464
(843) 352-9728",Charleston,6,1434,5.0,https://www.yelp.com/biz/rudis-old-village-wine-shop-mount-pleasant,Rudi’s Old Village Wine Shop,859
107,"2938 Spruill Ave
N Charleston, SC 29405
(843) 744-5061",Charleston,2,1434,4.5,https://www.yelp.com/biz/chinese-deli-n-charleston,Chinese Deli,69
108,"863 Houston Northcutt Blvd
Mount Pleasant, SC 29464
(843) 606-2493",Charleston,432,1434,4.5,https://www.yelp.com/biz/graze-mount-pleasant,Graze,269
109,"Starmount
624 Tyvola Rd 101
Charlotte, NC 28217
(980) 225-7203",Charlotte,23,1716,2.0,https://www.yelp.com/biz/wingstop-charlotte-8,Wingstop,113
110,"South End, Dilworth
235 W Tremont Ave
Charlotte, NC 28203",Charlotte,20,1716,4.0,https://www.yelp.com/biz/bang-bang-bites-charlotte,Bang Bang Bites,313
111,"Elizabeth
116 Middleton Dr
Charlotte, NC 28207
(704) 344-0100",Charlotte,111,1716,4.0,https://www.yelp.com/biz/zio-casual-italian-charlotte,Zio Casual Italian,513
112,"Elizabeth
116 Middleton Dr
Charlotte, NC 28207
(704) 334-3346",Charlotte,3,1716,4.5,https://www.yelp.com/biz/primo-prime-charlotte-3,Primo Prime,713
113,"Uptown
312 S Tryon St
Charlotte, NC 28202",Charlotte,17,1716,4.0,https://www.yelp.com/biz/socal-taco-stand-charlotte,SoCal Taco Stand,913
114,"Greektown, West Loop, Near West Side
810 W Jackson Blvd
Chicago, IL 60607
(312) 985-8818",Chicago,26,6947,4.5,https://www.yelp.com/biz/wj-noodles-chicago,WJ Noodles,300
115,"West Town, Wicker Park
2100 W Division St
Chicago, IL 60622
(773) 292-1600",Chicago,583,6947,4.0,https://www.yelp.com/biz/folklore-argentine-grill-chicago,Folklore Argentine Grill,500
116,"The Loop
125 S Clark St
Chicago, IL 60603
(773) 999-9411",Chicago,294,6947,4.0,https://www.yelp.com/biz/revival-food-hall-chicago,Revival Food Hall,700
117,"The Loop
120 W Monroe St
Chicago, IL 60603
(312) 801-8899",Chicago,120,6947,3.5,https://www.yelp.com/biz/steadfast-chicago-2,Steadfast,900
118,"Near North Side
59 W Grand Ave
Chicago, IL 60654
(312) 645-9500",Chicago,1200,6947,3.5,https://www.yelp.com/biz/india-house-restaurant-chicago-2,India House Restaurant,110
119,"Evanston
2444 Madison Rd
Cincinnati, OH 45208
(513) 321-6088",Cincinnati,98,1645,4.0,https://www.yelp.com/biz/oriental-wok-cincinnati,Oriental Wok,610
120,"Downtown
328 E 4th St
Cincinnati, OH 45202
(513) 721-5637",Cincinnati,22,1645,3.0,https://www.yelp.com/biz/burrito-joes-cincinnati,Burrito Joe’s,810
121,"2949 Dixie Hwy
Crestview Hills, KY 41017
(859) 341-2555",Cincinnati,82,1645,4.5,https://www.yelp.com/biz/deweys-pizza-crestview-hills,Dewey’s Pizza,20
122,"Over-the-Rhine
1401 Republic St
Cincinnati, OH 45202
(513) 621-7000",Cincinnati,211,1645,4.5,https://www.yelp.com/biz/salazar-cincinnati,Salazar,220
123,"Mt. Adams
1051 Saint Gregory St
Cincinnati, OH 45202",Cincinnati,236,1645,3.0,https://www.yelp.com/biz/teak-thai-cuisine-cincinnati,Teak Thai Cuisine,420
124,"14401 Harvard Ave
Cleveland, OH 44128
(216) 751-0485",Cleveland,3,1838,4.5,https://www.yelp.com/biz/takeover-restaurant-cleveland,Takeover Restaurant,473
125,"Tremont
2193 Professor Ave
Cleveland, OH 44113
(216) 771-0515",Cleveland,16,1838,3.5,https://www.yelp.com/biz/tonys-southside-pizza-cleveland,Tony’s Southside Pizza,673
126,"Cascade Crossing
5030 Tiedeman Rd
Brooklyn, OH 44144
(216) 898-5790",Cleveland,59,1838,3.5,https://www.yelp.com/biz/carrabbas-italian-grill-brooklyn-2,Carrabba’s Italian Grill,873
127,"Ridge & Memphis
6815 Memphis Ave
Cleveland, OH 44144
(216) 741-2346",Cleveland,3,1838,3.5,https://www.yelp.com/biz/mcgs-pub-and-grub-cleveland,McG’s Pub and Grub,83
128,"Detroit-Shoreway
6605 Detroit Ave
Cleveland, OH 44102
(216) 920-0600",Cleveland,264,1838,4.0,https://www.yelp.com/biz/luxe-kitchen-and-lounge-cleveland,Luxe Kitchen & Lounge,283
129,"4860 W Broad St
Columbus, OH 43228
(614) 878-9960",Columbus,18,2177,4.0,https://www.yelp.com/biz/new-fortune-china-columbus,New Fortune China,137
130,"Easton
4000 Stelzer Rd
Columbus, OH 43219
(614) 476-8348",Columbus,124,2177,3.5,https://www.yelp.com/biz/j-alexanders-restaurant-columbus-3,J. Alexander’s Restaurant,337
131,"2285 W Dublin Granville Rd
Worthington, OH 43085
(614) 987-7999",Columbus,12,2177,4.0,https://www.yelp.com/biz/tomatillos-authentic-mexican-worthington,Tomatillos Authentic Mexican,537
132,"University District
1571 N 4th St
Columbus, OH 43201
(614) 291-5598",Columbus,16,2177,4.5,https://www.yelp.com/biz/oldfields-north-fourth-tavern-columbus,Oldfield’s North Fourth Tavern,737
133,"Olde Towne East
1117 Oak St
Columbus, OH 43205
(614) 398-2906",Columbus,8,2177,4.5,https://www.yelp.com/biz/kickin-chicken-mobile-columbus-3,Kickin Chicken Mobile,937
134,"1841 Willow Pass Rd
Concord, CA 94520
(925) 276-0028",Concord,33,1389,3.0,https://www.yelp.com/biz/mariscos-la-playita-concord,Mariscos La Playita,544
135,"1 Sunvalley Mall
Concord, CA 94520
(925) 825-2042",Concord,10,1389,3.0,https://www.yelp.com/biz/sunvalley-food-court-concord,Sunvalley Food Court,744
136,"1385C N Main St
Walnut Creek, CA 94596
(925) 482-0860",Concord,40,1389,3.5,https://www.yelp.com/biz/t4-and-poke-walnut-creek,T4 And Poke,944
137,"700 Benicia Rd
Vallejo, CA 94591
(707) 643-9149",Concord,71,1389,3.5,https://www.yelp.com/biz/maggies-hamburgers-vallejo-2,Maggie’s Hamburgers,154
138,"Concord, CA 94518
(925) 818-6861",Concord,74,1389,4.0,https://www.yelp.com/biz/ceviche-and-co-concord,Ceviche & Co,354
139,"3850 Barranca Pkwy
Irvine, CA 92606
(949) 679-6913",Costa Mesa,121,2938,3.0,https://www.yelp.com/biz/inchins-bamboo-garden-irvine,Inchin’s Bamboo Garden,46
140,"1534 Adams Ave
Costa Mesa, CA 92626
(714) 852-3734",Costa Mesa,425,2938,3.5,https://www.yelp.com/biz/bonchon-costa-mesa-3,Bonchon,246
141,"925 W Warner Ave
Santa Ana, CA 92707
(714) 884-4073",Costa Mesa,878,2938,4.5,https://www.yelp.com/biz/taqueria-el-zamorano-santa-ana,Taqueria El Zamorano,446
142,"324 W 4th St
Santa Ana, CA 92701
(714) 204-0519",Costa Mesa,210,2938,4.5,https://www.yelp.com/biz/the-barrel-room-santa-ana,The Barrel Room,646
143,"6710 W Coast Hwy
Newport Beach, CA 92663
(949) 548-7025",Costa Mesa,92,2938,4.5,https://www.yelp.com/biz/newport-beach-corner-cafe-and-market-newport-beach,Newport Beach Corner Cafe and Market,846
144,"Venice
3205 Washington Blvd
Marina del Rey, CA 90292
(310) 439-8264",Culver City,436,5063,3.5,https://www.yelp.com/biz/firestone-walker-the-propagator-marina-del-rey,Firestone Walker The Propagator,607
145,"714 Montana Ave
Santa Monica, CA 90403
(310) 395-6619",Culver City,54,5063,4.5,https://www.yelp.com/biz/osteria-bigoli-santa-monica,Osteria Bigoli,807
146,"Palms
8985 Venice Blvd
Los Angeles, CA 90034
(424) 345-9282",Culver City,245,5063,4.5,https://www.yelp.com/biz/mod-pizza-los-angeles-2,MOD Pizza,17
147,"Culver City
4410 Sepulveda Blvd
Culver City, CA 90230
(310) 398-9000",Culver City,92,5063,4.0,https://www.yelp.com/biz/harajuku-taproom-culver-city-5,Harajuku Taproom,217
148,"Culver City
9426 Washington Blvd
Culver City, CA 90232
(310) 280-9355",Culver City,159,5063,3.5,https://www.yelp.com/biz/make-out-culver-city,Make Out,417
149,"1655 S De Anza Blvd
Cupertino, CA 95014
(408) 252-7141",Cupertino,97,1667,4.0,https://www.yelp.com/biz/coach-house-wine-and-spirits-cupertino,Coach House Wine & Spirits,706
